Problem ID,Problem Name,Title Tags,Plain Tags,Number Solved
727B,Bill Total Value,Parsing expression grammar|Implementation problems programming technics simulation,expression parsing|implementation,1098
727A,Transformation: from A to B,Brute force|Dfs and similar,brute force|dfs and similar,2663
725G,Messages on a Tree,,,14
725F,Family Photos,Greedy algorithms,greedy,117
725E,Too Much Money,Brute force,brute force,306
725D,Contest Balloons,Heaps binary search trees segment trees hash tables etc|Greedy algorithms,data structures|greedy,1468
725C,Hidden Word,Brute force|Constructive algorithms|Implementation problems programming technics simulation,brute force|constructive algorithms|implementation,1832
725B,Food on the Plane,Mathematics including integration differential equations etc,math,3432
725A,Jumping Ball,Implementation problems programming technics simulation,implementation,4040
724G,Xor-matic Number of the Graph,Bitmasks|Graphs|Mathematics including integration differential equations etc|Trees,bitmasks|graphs|math|trees,212
724F,Uniformly Branched Trees,Combinatorics,combinatorics,72
724E,Goods transportation,Dynamic programming|Graph network flows,dp|flows,315
724D,Dense Subsequence,Heaps binary search trees segment trees hash tables etc|Greedy algorithms,data structures|greedy,1445
724C,Ray Tracing,Greedy algorithms|Hashing hashtables|Implementation problems programming technics simulation|Mathematics including integration differential equations etc|Number theory: Euler function GCD divisibility etc,greedy|hashing|implementation|math|number theory,1404
724B,Batch Sort,Brute force|Greedy algorithms|Implementation problems programming technics simulation,brute force|greedy|implementation,2742
724A,Checking the Calendar,Implementation problems programming technics simulation,implementation,4475
723F,st-Spanning Tree,Disjoint set union|Graphs|Greedy algorithms|Implementation problems programming technics simulation,dsu|graphs|greedy|implementation,680
